Clone Overlap for Change version-416, strlist.c, c, 89, 90: 1 (CloneClass: 26)
Clone Overlap for Change version-416, strlist.c, c, 97, 98: 1 (CloneClass: 26)
Clone Overlap for Change version-422, ruby.c, c, 24, 43: 2 (CloneClass: 6)
Clone Overlap for Change version-422, ruby.c, c, 45, 79: 5 (CloneClass: 6, 52)
Clone Overlap for Change version-434, make.c, c, 15, 17: 1 (CloneClass: 23)
Clone Overlap for Change version-434, make.c, c, 19, 23: 1 (CloneClass: 23)
Clone Overlap for Change version-442, keyword.c, c, 45, 46: 1 (CloneClass: 15)
Clone Overlap for Change version-452, python.c, c, 79, 83: 1 (CloneClass: 42)
Clone Overlap for Change version-452, python.c, c, 114, 114: 1 (CloneClass: 18)
Clone Overlap for Change version-454, python.c, c, 121, 122: 1 (CloneClass: 24)
Clone Overlap for Change version-460, sql.c, a, 142, 142: 1 (CloneClass: 10)
Clone Overlap for Change version-460, sql.c, a, 264, 264: 1 (CloneClass: 33)
Clone Overlap for Change version-460, sql.c, c, 281, 283: 1 (CloneClass: 35)
Clone Overlap for Change version-460, sql.c, c, 285, 288: 1 (CloneClass: 35)
Clone Overlap for Change version-460, sql.c, a, 292, 292: 1 (CloneClass: 35)
Clone Overlap for Change version-460, sql.c, a, 338, 338: 1 (CloneClass: 47)
Clone Overlap for Change version-460, sql.c, a, 357, 357: 1 (CloneClass: 9)
Clone Overlap for Change version-460, sql.c, c, 404, 405: 1 (CloneClass: 33)
Clone Overlap for Change version-460, sql.c, a, 406, 406: 1 (CloneClass: 7)
Clone Overlap for Change version-467, jscript.c, c, 304, 307: 2 (CloneClass: 32, 91)
Clone Overlap for Change version-467, jscript.c, c, 347, 347: 1 (CloneClass: 20)
Clone Overlap for Change version-467, sql.c, d, 430, 434: 1 (CloneClass: 52)
Clone Overlap for Change version-468, python.c, c, 55, 55: 1 (CloneClass: 76)
Clone Overlap for Change version-468, python.c, c, 59, 60: 1 (CloneClass: 34)
Clone Overlap for Change version-469, jscript.c, a, 190, 190: 1 (CloneClass: 42)
Clone Overlap for Change version-469, jscript.c, c, 382, 385: 1 (CloneClass: 35)
Clone Overlap for Change version-469, jscript.c, c, 388, 388: 1 (CloneClass: 5)
Clone Overlap for Change version-469, jscript.c, c, 406, 407: 1 (CloneClass: 5)
Clone Overlap for Change version-469, jscript.c, c, 447, 450: 1 (CloneClass: 35)
Clone Overlap for Change version-469, jscript.c, c, 457, 465: 1 (CloneClass: 10)
Clone Overlap for Change version-469, jscript.c, c, 467, 467: 1 (CloneClass: 64)
Clone Overlap for Change version-469, jscript.c, c, 474, 474: 1 (CloneClass: 10)
Clone Overlap for Change version-469, jscript.c, c, 481, 482: 1 (CloneClass: 20)
Clone Overlap for Change version-473, vim.c, a, 28, 28: 1 (CloneClass: 86)
Clone Overlap for Change version-474, jscript.c, c, 528, 529: 1 (CloneClass: 47)
Clone Overlap for Change version-474, sql.c, c, 715, 715: 1 (CloneClass: 48)
Clone Overlap for Change version-475, jscript.c, d, 108, 119: 2 (CloneClass: 6)
Clone Overlap for Change version-475, jscript.c, a, 138, 138: 1 (CloneClass: 70)
Clone Overlap for Change version-475, jscript.c, d, 151, 160: 2 (CloneClass: 19)
Clone Overlap for Change version-475, jscript.c, d, 197, 210: 2 (CloneClass: 36, 52)
Clone Overlap for Change version-475, jscript.c, a, 322, 322: 1 (CloneClass: 20)
Clone Overlap for Change version-475, jscript.c, d, 384, 428: 5 (CloneClass: 5, 7, 24, 37, 39)
Clone Overlap for Change version-475, sql.c, a, 255, 255: 1 (CloneClass: 70)
Clone Overlap for Change version-475, sql.c, d, 268, 277: 1 (CloneClass: 19)
Clone Overlap for Change version-476, jscript.c, a, 180, 180: 1 (CloneClass: 18)
Clone Overlap for Change version-476, jscript.c, d, 242, 247: 1 (CloneClass: 54)
Clone Overlap for Change version-478, vim.c, c, 22, 22: 1 (CloneClass: 85)
Clone Overlap for Change version-478, vim.c, c, 26, 26: 1 (CloneClass: 85)
Clone Overlap for Change version-478, vim.c, c, 98, 101: 1 (CloneClass: 10)
Clone Overlap for Change version-478, vim.c, c, 113, 113: 1 (CloneClass: 10)
Clone Overlap for Change version-486, php.c, c, 41, 43: 1 (CloneClass: 12)
Clone Overlap for Change version-486, php.c, c, 96, 96: 1 (CloneClass: 28)
Clone Overlap for Change version-523, c.c, a, 1664, 1664: 1 (CloneClass: 81)
Clone Overlap for Change version-524, get.c, c, 244, 244: 1 (CloneClass: 30)
Clone Overlap for Change version-525, python.c, c, 123, 152: 2 (CloneClass: 35)
Clone Overlap for Change version-535, eiffel.c, a, 274, 274: 1 (CloneClass: 98)
Clone Overlap for Change version-535, jscript.c, c, 187, 187: 1 (CloneClass: 58)
Clone Overlap for Change version-535, sql.c, c, 309, 309: 1 (CloneClass: 58)
Clone Overlap for Change version-544, c.c, a, 1820, 1820: 1 (CloneClass: 69)
Clone Overlap for Change version-548, vstring.c, a, 35, 35: 1 (CloneClass: 48)
Clone Overlap for Change version-578, basic.c, c, 110, 119: 1 (CloneClass: 26)
Clone Overlap for Change version-578, basic.c, c, 123, 139: 3 (CloneClass: 26)
Clone Overlap for Change version-585, jscript.c, c, 125, 125: 1 (CloneClass: 20)
Clone Overlap for Change version-585, jscript.c, c, 136, 136: 1 (CloneClass: 14)
