Clone Overlap for Change version-155, ruby.c, a, 20, 20: 1 (CloneClass: 1)
Clone Overlap for Change version-155, ruby.c, c, 22, 31: 1 (CloneClass: 1)
Clone Overlap for Change version-155, ruby.c, a, 35, 35: 1 (CloneClass: 1)
Clone Overlap for Change version-155, ruby.c, c, 52, 54: 3 (CloneClass: 1, 8)
Clone Overlap for Change version-155, ruby.c, c, 57, 57: 3 (CloneClass: 1, 8)
Clone Overlap for Change version-160, python.c, c, 14, 31: 1 (CloneClass: 8)
Clone Overlap for Change version-160, python.c, c, 34, 35: 1 (CloneClass: 8)
Clone Overlap for Change version-160, python.c, c, 37, 43: 3 (CloneClass: 8)
Clone Overlap for Change version-160, python.c, c, 45, 46: 2 (CloneClass: 8)
Clone Overlap for Change version-160, python.c, c, 48, 60: 4 (CloneClass: 8, 17, 53)
Clone Overlap for Change version-160, python.c, c, 62, 62: 1 (CloneClass: 17)
Clone Overlap for Change version-162, readtags.c, c, 337, 337: 1 (CloneClass: 41)
Clone Overlap for Change version-162, readtags.c, c, 340, 340: 1 (CloneClass: 41)
Clone Overlap for Change version-189, readtags.c, c, 443, 443: 1 (CloneClass: 20)
Clone Overlap for Change version-189, readtags.c, c, 446, 446: 1 (CloneClass: 20)
Clone Overlap for Change version-189, readtags.c, a, 448, 448: 1 (CloneClass: 20)
Clone Overlap for Change version-200, vim.c, c, 42, 42: 1 (CloneClass: 5)
Clone Overlap for Change version-200, vim.c, c, 59, 59: 1 (CloneClass: 5)
Clone Overlap for Change version-201, vim.c, c, 23, 23: 1 (CloneClass: 53)
Clone Overlap for Change version-208, perl.c, c, 22, 22: 1 (CloneClass: 45)
Clone Overlap for Change version-211, tcl.c, c, 23, 23: 1 (CloneClass: 7)
Clone Overlap for Change version-211, tcl.c, c, 26, 26: 1 (CloneClass: 7)
Clone Overlap for Change version-212, tcl.c, c, 20, 21: 1 (CloneClass: 7)
Clone Overlap for Change version-212, tcl.c, c, 24, 29: 1 (CloneClass: 7)
Clone Overlap for Change version-212, tcl.c, c, 32, 32: 1 (CloneClass: 17)
Clone Overlap for Change version-213, c.c, a, 714, 714: 1 (CloneClass: 30)
